,timestamp,x_seq,y_seq,yaw_seq,vx,yaw_rate
76,158192765349,3803.03,-2640.78,-2.9213321,4.94,-0.0040142573
77,158192775348,3802.98,-2640.79,-2.9213321,4.945,-0.0040142573
78,158192785347,3802.93,-2640.8,-2.9213321,4.945,-0.0036651914
79,158192795348,3802.88,-2640.81,-2.9213321,4.945,-0.0033161256
80,158192805349,3802.83,-2640.83,-2.9213321,4.945,-0.0027925267
81,158192815347,3802.79,-2640.84,-2.9213321,4.94,-0.0034906585
82,158192825347,3802.74,-2640.85,-2.9215066,4.94,-0.0027925267
83,158192835347,3802.69,-2640.86,-2.9215066,4.94,-0.0033161256
84,158192845350,3802.64,-2640.87,-2.9215066,4.935,-0.0033161256
85,158192855347,3802.59,-2640.88,-2.9215066,4.93,-0.0031415927
86,158192865347,3802.55,-2640.89,-2.9215066,4.925,-0.004363323
87,158192875347,3802.5,-2640.9,-2.9216812,4.925,-0.0052359877
88,158192885350,3802.45,-2640.91,-2.9216812,4.925,-0.0050614546
89,158192895348,3802.4,-2640.93,-2.9216812,4.925,-0.0027925267
90,158192905347,3802.35,-2640.94,-2.9216812,4.925,-0.002443461
91,158192915347,3802.3,-2640.95,-2.9216812,4.92,-0.002094395
92,158192925349,3802.26,-2640.96,-2.9216812,4.92,-0.0015707964
93,158192935350,3802.21,-2640.97,-2.9216812,4.915,-0.0019198622
94,158192945363,3802.16,-2640.98,-2.9216812,4.91,-0.002094395
95,158192955353,3802.11,-2640.99,-2.9216812,4.905,-0.0012217305
96,158192965355,3802.06,-2641.0,-2.9216812,4.905,-0.0026179939
97,158192975351,3802.02,-2641.01,-2.9216812,4.905,-0.0015707964
98,158192985349,3801.97,-2641.02,-2.9218557,4.905,-0.002443461
99,158192995351,3801.92,-2641.04,-2.9218557,4.905,-0.002094395
100,158193005384,3801.87,-2641.05,-2.9218557,4.905,-0.0013962634
101,158193015385,3801.82,-2641.06,-2.9218557,4.9,-0.002094395
102,158193025359,3801.78,-2641.07,-2.9218557,4.895,-0.0013962634
103,158193035347,3801.73,-2641.08,-2.9218557,4.895,-0.0027925267
104,158193045350,3801.68,-2641.09,-2.9218557,4.895,-0.0026179939
105,158193055353,3801.63,-2641.1,-2.9218557,4.895,-0.0033161256
106,158193065347,3801.58,-2641.11,-2.9220302,4.895,-0.0029670596
107,158193075354,3801.54,-2641.12,-2.9220302,4.89,-0.0031415927
108,158193085361,3801.49,-2641.13,-2.9220302,4.89,-0.0027925267
109,158193095356,3801.44,-2641.14,-2.9220302,4.885,-0.0033161256
110,158193105375,3801.39,-2641.15,-2.9220302,4.885,-0.0036651914
111,158193115349,3801.34,-2641.17,-2.9220302,4.885,-0.0038397245
112,158193125374,3801.3,-2641.18,-2.9222047,4.885,-0.004537856
113,158193135353,3801.25,-2641.19,-2.9222047,4.88,-0.0040142573
114,158193145371,3801.2,-2641.2,-2.9222047,4.88,-0.0038397245
115,158193155407,3801.15,-2641.21,-2.9222047,4.88,-0.0036651914
116,158193165384,3801.1,-2641.22,-2.9223793,4.875,-0.0029670596
117,158193175368,3801.06,-2641.23,-2.9223793,4.875,-0.0031415927
118,158193185375,3801.01,-2641.24,-2.9223793,4.875,-0.0034906585
119,158193195359,3800.96,-2641.25,-2.9223793,4.875,-0.0029670596
120,158193205348,3800.91,-2641.26,-2.9225538,4.87,-0.0026179939
121,158193215348,3800.87,-2641.27,-2.9225538,4.87,-0.002443461
122,158193225347,3800.82,-2641.28,-2.9225538,4.87,-0.002443461
123,158193235368,3800.77,-2641.29,-2.9225538,4.865,-0.0019198622
124,158193245368,3800.72,-2641.3,-2.9225538,4.865,-0.0015707964
125,158193255347,3800.67,-2641.32,-2.9225538,4.865,-0.0013962634
126,158193265347,3800.63,-2641.33,-2.9225538,4.865,-0.0012217305
127,158193275349,3800.58,-2641.34,-2.9227283,4.865,-0.0010471975
128,158193285350,3800.53,-2641.35,-2.9227283,4.86,-0.0012217305
129,158193295348,3800.48,-2641.36,-2.9227283,4.86,-0.0013962634
130,158193305349,3800.43,-2641.37,-2.9227283,4.855,-0.0017453292
